region,visit,return,hos_count,return/hos,effect_%
北海道,0,-89516,687,-130,-0.13154090558054124
北海道,1,-45039327,1273,-35380,-26.472224810916988
東北,0,22359288,1373,16284,20.180986521637166
東北,1,107603361,2289,47008,40.65531596475746
関東,0,59458346,5709,10414,12.718341401931612
関東,1,76953725,10438,7372,5.492864439464108
中部,0,64613256,2969,21762,33.93190591675782
中部,1,295728556,5090,58099,44.78551799648829
近畿,0,129894472,3156,41157,62.882130042051294
近畿,1,143658702,5652,25417,22.246282322464864
中国,0,14055987,1235,11381,19.642036560279056
中国,1,-18605739,2311,-8050,-9.753084069284018
四国,0,348534,518,672,0.48189138530729775
四国,1,17603774,1216,14476,13.568149177521708
九州,0,8441700,2316,3644,7.5752398816286055
九州,1,-7989482,4140,-1929,-3.227346005678707
